n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
2,2,0.0027,0.0014,0.0014
2,2,0.002711,0.0015,0.0014
2,2,0.002701,0.0014,0.0014
2,2,0.002701,0.0014,0.0014
2,2,0.00269,0.0014,0.0014
2,2,0.008181,0.0059,0.0023
2,2,0.003678,0.002,0.0018
2,2,0.002801,0.0015,0.0014
2,2,0.002902,0.0016,0.0015
2,2,0.002741,0.0015,0.0015
2,2,0.0027,0.0014,0.0014
2,2,0.002771,0.0015,0.0014
2,2,0.00274,0.0014,0.0014
2,2,0.002761,0.0015,0.0015
2,2,0.00274,0.0015,0.0014
2,2,0.00275,0.0015,0.0014
2,2,0.00271,0.0015,0.0013
2,2,0.0027,0.0014,0.0014
2,2,0.0027,0.0014,0.0014
2,2,0.003094,0.0016,0.0017
2,2,0.002992,0.0016,0.0016
2,2,0.002972,0.0016,0.0015
2,2,0.002972,0.0015,0.0016
2,2,0.002982,0.0016,0.0016
2,2,0.003003,0.0016,0.0015
2,2,0.002942,0.0015,0.0015
2,2,0.002972,0.0016,0.0015
2,2,0.002972,0.0016,0.0015
2,2,0.002982,0.0016,0.0016
2,2,0.002962,0.0016,0.0015
2,2,0.002972,0.0016,0.0015
2,2,0.002962,0.0015,0.0016
2,2,0.003003,0.0016,0.0016
2,2,0.003002,0.0015,0.0016
2,2,0.002992,0.0016,0.0015
2,2,0.002952,0.0015,0.0015
2,2,0.002962,0.0016,0.0015
2,2,0.002982,0.0016,0.0015
2,2,0.002962,0.0016,0.0015
2,2,0.002992,0.0016,0.0015
2,2,0.003033,0.0016,0.0015
2,2,0.002398,0.0013,0.0012
2,2,0.002398,0.0013,0.0012
2,2,0.002357,0.0012,0.0012
2,2,0.002398,0.0013,0.0012
2,2,0.002378,0.0013,0.0012
2,2,0.002398,0.0012,0.0013
2,2,0.002368,0.0013,0.0012
2,2,0.002479,0.0013,0.0012
2,2,0.002388,0.0012,0.0013
2,2,0.002377,0.0013,0.0012
2,2,0.002398,0.0013,0.0013
2,2,0.002368,0.0012,0.0012
2,2,0.003466,0.0019,0.002
2,2,0.003365,0.0019,0.0017
2,2,0.003425,0.0018,0.0017
3,6,0.002408,0.0014,0.0013
3,6,0.002146,0.0011,0.0011
3,6,0.002136,0.0011,0.0011
3,6,0.002106,0.0012,0.0011
3,6,0.00263,0.0014,0.0014
3,6,0.003063,0.0019,0.0014
3,6,0.00391,0.0026,0.0023
3,6,0.00275,0.0015,0.0013
3,6,0.00269,0.0014,0.0015
3,6,0.002509,0.0014,0.0013
3,6,0.002761,0.0014,0.0015
3,6,0.003214,0.002,0.002
3,6,0.002358,0.0013,0.0012
3,6,0.002409,0.0013,0.0013
3,6,0.00268,0.0013,0.0013
3,6,0.002498,0.0013,0.0013
3,6,0.002891,0.0017,0.0015
3,6,0.00278,0.0015,0.0015
3,6,0.002851,0.0015,0.0015
3,6,0.002317,0.0012,0.0012
3,6,0.002126,0.0011,0.0011
3,6,0.002105,0.0011,0.0011
3,6,0.002106,0.0011,0.0011
3,6,0.002126,0.0011,0.0011
3,6,0.002116,0.0011,0.0011
3,6,0.002116,0.0011,0.0011
3,6,0.002116,0.0011,0.0011
3,6,0.002106,0.0012,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002105,0.0011,0.0011
3,6,0.002106,0.0012,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002095,0.0011,0.0011
3,6,0.002096,0.0012,0.0011
3,6,0.002096,0.0011,0.001
3,6,0.002105,0.0011,0.0011
3,6,0.002106,0.0011,0.0011
3,6,0.002096,0.0011,0.001
3,6,0.002086,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002096,0.0011,0.001
3,6,0.002095,0.0011,0.0011
3,6,0.002095,0.0011,0.0011
3,6,0.002106,0.0011,0.001
3,6,0.002096,0.0011,0.0011
3,6,0.002106,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002095,0.0011,0.0011
3,6,0.002105,0.0011,0.0011
3,6,0.002106,0.0011,0.0011
3,6,0.002589,0.0015,0.0014
3,6,0.002791,0.0016,0.0014
3,6,0.00277,0.0015,0.0015
3,6,0.002358,0.0013,0.0012
3,6,0.002146,0.0011,0.0011
3,6,0.002126,0.0012,0.0011
3,6,0.002116,0.0011,0.0011
3,6,0.002126,0.0012,0.0011
3,6,0.002095,0.0011,0.001
3,6,0.002116,0.0012,0.0011
3,6,0.002125,0.0012,0.0011
3,6,0.002126,0.0012,0.0011
3,6,0.002106,0.0011,0.0011
3,6,0.002105,0.0011,0.0011
3,6,0.002095,0.0011,0.001
3,6,0.002115,0.0011,0.0011
3,6,0.002095,0.0012,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002095,0.0011,0.0011
3,6,0.00272,0.0015,0.0014
3,6,0.00271,0.0014,0.0014
3,6,0.002721,0.0015,0.0014
3,6,0.00267,0.0015,0.0014
3,6,0.002186,0.0012,0.0012
3,6,0.002116,0.0012,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.003173,0.0019,0.0016
3,6,0.00277,0.0016,0.0014
3,6,0.002539,0.0014,0.0013
3,6,0.002801,0.0015,0.0014
3,6,0.00262,0.0015,0.0014
3,6,0.002287,0.0012,0.0012
3,6,0.002125,0.0012,0.0011
3,6,0.002116,0.0011,0.0011
3,6,0.002106,0.0011,0.0011
3,6,0.002126,0.0011,0.0011
3,6,0.002126,0.0011,0.0011
3,6,0.002106,0.0011,0.0011
3,6,0.002116,0.0011,0.0011
3,6,0.002106,0.0012,0.0011
3,6,0.002095,0.0011,0.0011
3,6,0.002086,0.0011,0.001
3,6,0.002116,0.0012,0.0011
3,6,0.002086,0.0011,0.0011
4,24,0.005783,0.0033,0.0031
4,24,0.005168,0.0028,0.0028
4,24,0.004937,0.0027,0.0026
4,24,0.004927,0.0027,0.0026
4,24,0.004987,0.0028,0.0027
4,24,0.005018,0.0027,0.0027
4,24,0.004876,0.0026,0.0025
4,24,0.004866,0.0026,0.0025
4,24,0.004866,0.0026,0.0025
4,24,0.004957,0.0027,0.0027
4,24,0.004877,0.0026,0.0026
4,24,0.004806,0.0026,0.0025
4,24,0.004866,0.0026,0.0025
4,24,0.005259,0.0028,0.0026
4,24,0.004624,0.0025,0.0025
4,24,0.004383,0.0024,0.0024
4,24,0.004816,0.0025,0.0023
4,24,0.004786,0.0024,0.0024
4,24,0.006135,0.0036,0.0036
4,24,0.004766,0.0026,0.0025
4,24,0.005008,0.0028,0.0026
4,24,0.004856,0.0025,0.0025
4,24,0.004232,0.0022,0.0022
4,24,0.003959,0.0021,0.0021
4,24,0.00399,0.0021,0.002
4,24,0.003778,0.002,0.002
4,24,0.004,0.0022,0.0021
4,24,0.003909,0.0021,0.002
4,24,0.004474,0.0026,0.0024
4,24,0.004141,0.0023,0.0023
4,24,0.004836,0.0028,0.0027
4,24,0.00406,0.0022,0.002
4,24,0.004,0.0022,0.0021
4,24,0.003809,0.002,0.002
4,24,0.004071,0.0022,0.0021
4,24,0.004181,0.0022,0.0022
4,24,0.004141,0.0023,0.0022
4,24,0.004474,0.0026,0.0026
4,24,0.004141,0.0022,0.0021
4,24,0.00406,0.0021,0.0021
4,24,0.00397,0.0022,0.0021
4,24,0.004101,0.0023,0.0022
4,24,0.004,0.0021,0.002
4,24,0.00401,0.0022,0.0021
4,24,0.003869,0.0021,0.002
4,24,0.004171,0.0024,0.0023
4,24,0.004212,0.0023,0.0023
4,24,0.004201,0.0022,0.0023
4,24,0.004131,0.0022,0.0022
4,24,0.004302,0.0022,0.0022
4,24,0.004131,0.0023,0.0022
4,24,0.00405,0.0022,0.0021
4,24,0.004141,0.0022,0.0022
4,24,0.004101,0.0022,0.0021
4,24,0.003929,0.0021,0.002
4,24,0.003749,0.002,0.002
4,24,0.005048,0.0024,0.0027
4,24,0.003708,0.002,0.0018
4,24,0.003707,0.0021,0.0019
4,24,0.003718,0.0019,0.002
4,24,0.00399,0.0021,0.0021
4,24,0.004544,0.0027,0.0027
4,24,0.003637,0.002,0.0019
4,24,0.003697,0.002,0.0019
4,24,0.003567,0.002,0.0018
4,24,0.003869,0.002,0.0021
4,24,0.004292,0.0022,0.0022
4,24,0.003788,0.0021,0.0021
4,24,0.003547,0.002,0.0019
