n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
2,2,0.002337,0.0013,0.0012
2,2,0.002358,0.0012,0.0012
2,2,0.002348,0.0012,0.0012
2,2,0.002358,0.0012,0.0012
2,2,0.002347,0.0012,0.0012
2,2,0.002348,0.0013,0.0012
2,2,0.002347,0.0012,0.0012
2,2,0.002479,0.0014,0.0013
2,2,0.002358,0.0012,0.0012
2,2,0.002368,0.0013,0.0012
2,2,0.002367,0.0013,0.0013
2,2,0.002347,0.0012,0.0012
2,2,0.002368,0.0013,0.0012
2,2,0.002368,0.0013,0.0012
2,2,0.002338,0.0012,0.0012
2,2,0.002368,0.0013,0.0012
2,2,0.002358,0.0012,0.0012
2,2,0.002368,0.0013,0.0013
2,2,0.002348,0.0012,0.0012
2,2,0.002378,0.0013,0.0012
2,2,0.002368,0.0012,0.0012
2,2,0.002368,0.0012,0.0012
2,2,0.002367,0.0013,0.0012
2,2,0.002348,0.0013,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002347,0.0013,0.0012
2,2,0.002357,0.0012,0.0012
2,2,0.002428,0.0012,0.0012
2,2,0.002347,0.0013,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002357,0.0013,0.0012
2,2,0.002348,0.0012,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002337,0.0013,0.0012
2,2,0.002348,0.0013,0.0012
2,2,0.002348,0.0012,0.0011
2,2,0.002347,0.0012,0.0012
2,2,0.002337,0.0013,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002357,0.0013,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002347,0.0013,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002338,0.0012,0.0012
2,2,0.002348,0.0013,0.0012
2,2,0.002348,0.0012,0.0012
2,2,0.002338,0.0013,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002347,0.0012,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002347,0.0012,0.0012
2,2,0.002347,0.0013,0.0012
2,2,0.002337,0.0012,0.0012
2,2,0.002338,0.0012,0.0011
3,6,0.002206,0.0012,0.0011
3,6,0.002116,0.0011,0.0011
3,6,0.002126,0.0012,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002852,0.0016,0.0014
3,6,0.002831,0.0014,0.0014
3,6,0.002963,0.0017,0.0017
3,6,0.002186,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002085,0.0011,0.001
3,6,0.002096,0.0011,0.0011
3,6,0.002076,0.0011,0.0011
3,6,0.002086,0.0011,0.0011
3,6,0.002105,0.0012,0.0011
3,6,0.002075,0.0011,0.001
3,6,0.002096,0.0012,0.0011
3,6,0.002075,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002076,0.0011,0.0011
3,6,0.002086,0.0011,0.0011
3,6,0.002086,0.0011,0.0011
3,6,0.002075,0.0011,0.0011
3,6,0.002075,0.0011,0.0011
3,6,0.002086,0.0011,0.001
3,6,0.002085,0.0011,0.001
3,6,0.002095,0.0011,0.001
3,6,0.002086,0.001,0.0011
3,6,0.002115,0.0011,0.0011
3,6,0.002086,0.0011,0.0011
3,6,0.002075,0.0011,0.001
3,6,0.002085,0.0011,0.001
3,6,0.002085,0.0011,0.001
3,6,0.002106,0.0011,0.001
3,6,0.002086,0.0011,0.0011
3,6,0.002086,0.0011,0.001
3,6,0.002086,0.0011,0.001
3,6,0.002076,0.0011,0.001
3,6,0.002076,0.0011,0.0011
3,6,0.002086,0.0011,0.0011
3,6,0.002076,0.0011,0.001
3,6,0.002076,0.0011,0.0011
3,6,0.002086,0.001,0.0011
3,6,0.002076,0.0011,0.001
3,6,0.002086,0.0011,0.0011
3,6,0.002086,0.0011,0.0011
3,6,0.002086,0.0011,0.0011
3,6,0.002086,0.0011,0.001
3,6,0.002076,0.0011,0.001
3,6,0.002076,0.0011,0.001
3,6,0.002076,0.0011,0.0011
3,6,0.002086,0.001,0.0011
3,6,0.002076,0.0011,0.0011
3,6,0.002086,0.0011,0.0011
3,6,0.002076,0.0011,0.001
3,6,0.002096,0.0011,0.001
3,6,0.002096,0.0011,0.0011
3,6,0.002086,0.0011,0.0011
3,6,0.002076,0.0011,0.0011
3,6,0.002086,0.0011,0.0011
3,6,0.002358,0.0011,0.001
3,6,0.00272,0.0014,0.0013
3,6,0.003284,0.0015,0.0016
3,6,0.002861,0.0016,0.0016
3,6,0.003557,0.0018,0.0017
3,6,0.003083,0.0017,0.0018
3,6,0.0026,0.0014,0.0013
3,6,0.002549,0.0014,0.0013
3,6,0.003516,0.002,0.0022
3,6,0.003254,0.0015,0.0019
3,6,0.002619,0.0013,0.0013
3,6,0.002649,0.0014,0.0014
3,6,0.00267,0.0013,0.0013
3,6,0.00268,0.0014,0.0014
3,6,0.002781,0.0016,0.0013
3,6,0.00276,0.0015,0.0015
3,6,0.00264,0.0014,0.0014
3,6,0.0026,0.0014,0.0013
3,6,0.002731,0.0015,0.0014
3,6,0.003043,0.0019,0.0018
3,6,0.002801,0.0015,0.0014
3,6,0.003688,0.002,0.0019
3,6,0.002629,0.0014,0.0014
3,6,0.003042,0.0015,0.0016
3,6,0.00274,0.0015,0.0014
3,6,0.002932,0.0014,0.0016
3,6,0.002962,0.0017,0.0016
3,6,0.002318,0.0012,0.0012
3,6,0.002236,0.0011,0.0011
3,6,0.002136,0.0011,0.0011
3,6,0.002095,0.0011,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002096,0.0011,0.001
3,6,0.002096,0.0012,0.0011
3,6,0.002096,0.0011,0.0011
3,6,0.002942,0.0014,0.0014
3,6,0.00262,0.0014,0.0014
3,6,0.003183,0.0014,0.0019
3,6,0.003648,0.0019,0.0017
3,6,0.002821,0.0016,0.0014
4,24,0.003244,0.0018,0.0017
4,24,0.003103,0.0017,0.0016
4,24,0.003073,0.0016,0.0016
4,24,0.003759,0.002,0.0021
4,24,0.004453,0.0025,0.0023
