n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
2,1,0.002126,0.0011,0.0011
2,1,0.002076,0.0011,0.001
2,1,0.002076,0.0011,0.001
2,1,0.002105,0.0011,0.0011
2,1,0.002085,0.0011,0.001
2,1,0.002126,0.0011,0.0011
2,1,0.002086,0.0011,0.001
2,1,0.002096,0.0011,0.0011
2,1,0.002086,0.0011,0.001
2,1,0.002187,0.0011,0.0011
2,1,0.002086,0.0011,0.0011
2,1,0.002136,0.0011,0.0011
2,1,0.002096,0.0011,0.0011
2,1,0.002086,0.0011,0.0011
2,1,0.002095,0.0011,0.0011
2,1,0.002085,0.0011,0.001
2,1,0.002076,0.0011,0.0011
2,1,0.002085,0.0011,0.0011
2,1,0.002095,0.0011,0.0011
2,1,0.002105,0.0012,0.0011
2,1,0.002096,0.0011,0.001
2,1,0.002086,0.0011,0.0011
2,1,0.002076,0.0011,0.001
2,1,0.002095,0.0011,0.001
2,1,0.002075,0.0011,0.001
2,1,0.002076,0.0011,0.0011
2,1,0.002096,0.0011,0.0011
2,1,0.002096,0.0011,0.0011
2,1,0.002095,0.0011,0.0011
2,1,0.002095,0.0011,0.0011
2,1,0.002086,0.0011,0.0011
2,1,0.002086,0.0011,0.0011
2,1,0.002076,0.0011,0.0011
2,1,0.002075,0.0011,0.001
2,1,0.033188,0.0011,0.001
2,1,0.002932,0.0017,0.0014
2,1,0.002126,0.0011,0.0011
2,1,0.002095,0.0011,0.0011
2,1,0.002075,0.0011,0.0011
2,1,0.002076,0.0011,0.001
2,1,0.002075,0.0011,0.0011
2,1,0.002076,0.0012,0.0011
2,1,0.002085,0.0011,0.001
2,1,0.002075,0.0011,0.0011
2,1,0.002106,0.0011,0.0011
2,1,0.002086,0.0011,0.001
2,1,0.002096,0.0011,0.0011
2,1,0.002086,0.001,0.0011
2,1,0.002075,0.0011,0.0011
2,1,0.002075,0.0011,0.001
2,1,0.002075,0.0011,0.0011
2,1,0.002076,0.0011,0.001
2,1,0.002076,0.0011,0.001
2,1,0.002076,0.0011,0.0011
2,1,0.002076,0.0011,0.0011
3,2,0.004312,0.0023,0.0023
3,2,0.004423,0.0025,0.0024
3,2,0.004111,0.0022,0.0022
3,2,0.00408,0.0021,0.0021
3,2,0.004262,0.0022,0.0022
3,2,0.004131,0.0021,0.0021
3,2,0.004151,0.0022,0.0021
3,2,0.004262,0.0023,0.0023
3,2,0.004131,0.0022,0.0022
3,2,0.004101,0.0022,0.0022
3,2,0.00406,0.0022,0.0021
3,2,0.004152,0.0023,0.0022
3,2,0.00409,0.0021,0.0021
3,2,0.004141,0.0022,0.0022
3,2,0.004101,0.0022,0.0021
3,2,0.004051,0.0021,0.0021
3,2,0.004061,0.0021,0.0021
3,2,0.004191,0.0023,0.0022
3,2,0.004141,0.0023,0.0021
3,2,0.004101,0.0022,0.0022
3,2,0.004111,0.0021,0.0021
3,2,0.004222,0.0022,0.0023
3,2,0.004241,0.0022,0.0021
3,2,0.00403,0.0021,0.0021
3,2,0.004151,0.0023,0.0021
3,2,0.004302,0.0023,0.0023
3,2,0.004141,0.0022,0.0022
3,2,0.004191,0.0023,0.0022
3,2,0.004131,0.0022,0.0021
3,2,0.004141,0.0023,0.0021
